MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
82022,04.07.56,04.06.42, , , ,
40579,04.07.57a,04.06.43a, , , ,
02608,04.07.57bi,04.06.43bi, , , ,
05106,04.07.57bii,04.06.43bii, , , ,
05107,04.07.57biii,04.06.43biii, , , ,
70077,04.07.58a,04.06.44a, , , ,
70112,04.07.58b,04.06.44b, , , ,
02621,04.07.59a,04.06.45a, , , ,
05118,04.07.59b,04.06.45b, , , ,
02622,04.07.60a,04.06.46a, , , ,
05119,04.07.60b,04.06.46b, , , ,
02623,04.07.61a,04.06.47a, , , ,
05120,04.07.61b,04.06.47b, , , ,
05121,04.07.61c,04.06.47c, , , ,
02624,04.07.62,04.06.48, , , ,
02580,04.07.63,..,04.07.59, , ,
02581,04.07.64,04.06.50, , , ,
02582,04.07.65,..,04.07.61, , ,
02583,04.07.66,04.06.30, , , ,
02584,04.07.67,04.06.51, , , ,
02585,04.07.68,04.06.52, , , ,
02586,04.07.69,04.06.53, , , ,
02587,04.07.70,04.06.54, , , ,
02588,04.07.71,04.R.44, , , ,
02589,04.07.72,04.06.56, , , ,
02590,04.07.73,04.06.57, , , ,
02591,04.07.74,04.06.58, , , ,
02592,04.07.75,04.06.55, , , ,
02593,04.07.76a,04.06.60a, , , ,
05093,04.07.76b,04.06.60b, , , ,
05094,04.07.76c,04.06.60c, , , ,
02594,04.07.77a,04.06.59a, , , ,
05090,04.07.77b,04.06.59b, , , ,
05091,04.07.77c,04.06.59c, , , ,
05092,04.07.77d,04.06.59d, , , ,
02595,04.07.78a,04.06.62a, , , ,
05097,04.07.78b,04.06.62b, , , ,
05098,04.07.78c,04.06.62c, , , ,
05099,04.07.78d,04.06.62d, , , ,
02597,04.07ap01.01,04.06ap.01, , , ,
02598,04.07ap01.02,04.06ap.02, , , ,
02599,04.07ap01.03,04.06ap.03, , , ,
02600,04.07ap01.04,04.06ap.04, , , ,
02601,04.07ap01.05,04.06ap.05, , , ,
02627,04.08.01a,04.07.01a, , , ,
02628,04.08.01b,04.07.01b, , , ,
02629,04.08.02,04.07.02, , , ,
83024,04.08.03,..,..,..,..,new
02631,04.08.04a,04.07.04a, , , ,
05122,04.08.04b,04.07.04b, , , ,
05123,04.08.04c,04.07.04c, , , ,
05124,04.08.04d,04.07.04d, , , ,
05125,04.08.04e,04.07.04e, , , ,
83025,04.08.05,..,..,..,..,new
80370,04.08.06,04.07.06, , , ,
80371,04.08.07,04.07.07, , , ,
83026,04.08.08,..,..,..,..,new
02636,04.08.09,04.07.09, , , ,
02637,04.08.10,04.07.10, , , ,
80372,04.08.11,04.07.11, , , ,
80373,04.08.12,04.07.12, , , ,
80374,04.08.13,..,04.08.13, , ,
80375,04.08.14,..,04.08.14, , ,
83027,04.08.15,..,..,..,..,new
83028,04.08.16,..,..,..,..,new
83029,04.08.17,..,..,..,..,new
83030,04.08.18,..,..,..,..,new
80376,04.08.19,04.07.15, , , ,
80377,04.08.20,04.07.16, , , ,
83031,04.08.21,..,..,..,..,new
82984,04.08.22,..,..,..,..,new
80378,04.08.23,04.07.17, , , ,
82985,04.08.24,..,..,..,..,new
82986,04.08.25,..,..,..,..,new
82987,04.08.26,..,..,..,..,new
80379,04.08.27,04.07.21, , , ,
80380,04.08.28,04.07.22, , , ,
02664,04.08.29a,04.07.23a, , , ,
05126,04.08.29b,04.07.23b, , , ,
02665,04.08.30a,04.07.24a, , , ,
05127,04.08.30b,04.07.24b, , , ,
02666,04.08.31,04.07.25, , , ,
02667,04.08.32a,04.07.26a, , , ,
05128,04.08.32b,04.07.26b, , , ,
05129,04.08.32c,04.07.26c, , , ,
05130,04.08.32d,04.07.26d, , , ,
02668,04.08.33,04.07.27, , , ,
02669,04.08.34,..,04.08.34, , ,
80381,04.08.35a,..,04.08.35a, , ,
80382,04.08.35b,..,04.08.35b, , ,
80383,04.08.36,04.07.28, , , ,
83033,04.08.37,..,..,..,..,new
02673,04.08.38,04.07.30, , , ,
80384,04.08.39,04.07.31, , , ,
02675,04.08.40,04.07.32, , , ,
02676,04.08.41,04.07.33, , , ,
02677,04.08.42a,04.07.34a, , , ,
05131,04.08.42b,04.07.34b, , , ,
80385,04.09.01,..,04.09.01, , ,
80386,04.09.02,..,04.09.02, , ,
80387,04.09.03,04.08.01, , , ,
80388,04.09.04,04.08.02, , , ,
80389,04.09.05,04.08.03, , , ,
80390,04.09.06,04.08.04, , , ,
82988,04.09.07,..,..,..,..,new
82989,04.09.08,..,..,..,..,new
82990,04.09.09,..,..,..,..,new
82991,04.09.10,..,..,..,..,new
82992,04.09.11,..,..,..,..,new
82993,04.09.12,..,..,..,..,new
82994,04.09.13,..,..,..,..,new
82995,04.09.14,..,..,..,..,new
82996,04.09.15,..,..,..,..,new
82997,04.09.16,..,..,..,..,new
82998,04.09.17,..,..,..,..,new
80391,04.09.18,..,04.09.16, , ,
80392,04.09.19,..,04.09.17, , ,
80393,04.09.20,04.08.14, , , ,
80394,04.09.21,04.08.15, , , ,
80395,04.09.22,04.08.16, , , ,
02703,04.09.23,04.08.17, , , ,
02704,04.09.24,04.08.18, , , ,
82999,04.09.25,..,..,..,..,new
83000,04.09.26,..,..,..,..,new
80396,04.09.27,04.08.21, , , ,
80397,04.09.28,04.08.22, , , ,
83001,04.09.29,..,..,..,..,new
83002,04.09.30,..,..,..,..,new
83003,04.09.31,..,..,..,..,new
83004,04.09.32,..,..,..,..,new
83005,04.09.33,..,..,..,..,new
83006,04.09.34,..,..,..,..,new
02716,04.09.35,04.08.27, , , ,
80398,04.09.36,..,04.09.34, , ,
80399,04.09.37,..,04.09.35, , ,
02719,04.09.38,04.08.28, , , ,
82023,04.09.39,04.08.29, , , ,
82024,04.09.40,04.08.30, , , ,
02722,04.09.41,04.08.31, , , ,
02723,04.09.42,04.08.32, , , ,
83007,04.09.43,..,..,..,..,new
83008,04.09.44,..,..,..,..,new
02726,04.09.45,04.08.35, , , ,
02727,04.09.46,04.08.34, , , ,
02728,04.09.47,..,04.09.45, , ,
80400,04.09.48,04.08.36, , , ,
02734,04.09.49,04.08.37, , , ,
02735,04.09.50,04.08.38, , , ,
01075,04.09.51,02.08.29, , , ,
01076,04.09.52,02.08.30, , , ,
80401,04.09.53,02.08.31, , , ,
80402,04.09.54,02.08.32, , , ,
02736,04.09.55,04.08.39, , , ,
02737,04.09.56a,..,04.09.54a, , ,
40402,04.09.56b,..,04.09.54b, , ,
40403,04.09.56c,..,04.09.54c, , ,
40404,04.09.56d,..,04.09.54d, , ,
80403,04.09.57,02.08.33, , , ,
81248,04.09.58,02.08.34, , , ,
02745,04.09.59,04.08.41, , , ,
02746,04.09.60,..,04.09.58, , ,
83009,04.09.61,..,..,..,..,new
83010,04.09.62,..,..,..,..,new
02749,04.09.63,..,04.09.61, , ,
80405,04.09.64,..,04.09.62, , ,
02751,04.09.65a,04.08.43a, , , ,
05136,04.09.65b,04.08.43b, , , ,
05137,04.09.65c,04.08.43c, , , ,
05138,04.09.65d,04.08.43d, , , ,
02753,04.09.66,04.08.44, , , ,
02754,04.09.67,04.08.45, , , ,
02755,04.09.68,04.08.46, , , ,
02756,04.09.69,04.08.49, , , ,
02757,04.09.70a,04.08.54a, , , ,
05139,04.09.70b,04.08.54b, , , ,
02758,04.09.71,04.08.47, , , ,
02759,04.09.72,04.08.48, , , ,
02760,04.09.73,04.08.56, , , ,
02761,04.09.74,04.08.50, , , ,
02762,04.09.75,04.08.51, , , ,
02763,04.09.76,04.08.52, , , ,
02764,04.09.77,04.08.53, , , ,
02765,04.09.78a,04.08.58a, , , ,
05144,04.09.78b,04.08.58b, , , ,
05145,04.09.78c,04.08.58c, , , ,
02766,04.09.79a,04.08.57a, , , ,
05141,04.09.79b,04.08.57b, , , ,
05142,04.09.79c,04.08.57c, , , ,
05143,04.09.79d,04.08.57d, , , ,
02768,04.CC.01,04.CC.01, , , ,
02769,04.CC.02a,04.CC.02a, , , ,
05146,04.CC.02b,04.CC.02b, , , ,
02770,04.CC.03a,04.CC.03a, , , ,
05147,04.CC.03b,04.CC.03b, , , ,
02771,04.CC.04a,..,04.CC.04a, , ,
02772,04.CC.04b,04.CC.04, , , ,
02773,04.CC.05a,04.CC.05a, , , ,
80429,04.CC.05b,..,04.CC.05b, , ,
05797,04.CC.05c,04.CC.05c, , , ,
30253,04.CC.05d,04.CC.05d, , , ,
02774,04.CC.06a,04.CC.06a, , , ,
05148,04.CC.06b,04.CC.06b, , , ,
05149,04.CC.06c,04.CC.06c, , , ,
02775,04.CC.07a,04.CC.07a, , , ,
05150,04.CC.07b,04.CC.07b, , , ,
05151,04.CC.07c,04.CC.07c, , , ,
05152,04.CC.07d,04.CC.07d, , , ,
02777,04.CC.08,04.CC.08, , , ,
02778,04.CC.09a,04.CC.09a, , , ,
05153,04.CC.09b,04.CC.09b, , , ,
05154,04.CC.09c,04.CC.09c, , , ,
05155,04.CC.09d,04.CC.09d, , , ,
02779,04.CC.10a,04.CC.10a, , , ,
05156,04.CC.10b,04.CC.10b, , , ,
02911,04.PP.01,04.PP.01, , , ,
02912,04.PP.02,04.PP.02, , , ,
02913,04.PP.03,04.PP.03, , , ,
02914,04.PP.04,04.PP.04, , , ,
82025,04.PP.05,04.PP.05, , , ,
83022,04.PP.06,..,..,..,..,new
83023,04.PP.07,..,..,..,..,new
02916,04.PP.08,04.PP.06, , , ,
30200,04.PP.09,04.PP.09, , , ,
02918,04.PP.10,04.PP.14, , , ,
02917,04.PP.11,04.PP.07, , , ,
80406,04.PP.12,04.PP.13, , , ,
30201,04.PP.13,04.PP.15, , , ,
02922,04.PP.14,04.PP.10, , , ,
02919,04.PP.15,04.PP.17, , , ,
02924,04.PP.16,04.PP.18, , , ,
02925,04.PP.17,..,04.PP.15, , ,
02926,04.PP.18,04.PP.12, , , ,
02927,04.PP.19,..,04.PP.17, , ,
02928,04.PP.20,04.PP.08, , , ,
02596,04.PP.21a,04.06.61a, , , ,
05095,04.PP.21b,04.06.61b, , , ,
05096,04.PP.21c,04.06.61c, , , ,
02929,04.PP.22,04.PP.16, , , ,
02930,04.PP.23,04.PP.21, , , ,
02931,04.PP.24,04.PP.22, , , ,
01599,04.PP.25,03.04.94, , , ,
02932,04.PP.26,04.PP.20, , , ,
80409,04.R.01,04.R.01, , , ,
80410,04.R.02,04.R.02, , , ,
80411,04.R.03,04.R.03, , , ,
83011,04.R.04,..,..,..,..,new
83012,04.R.05,..,..,..,..,new
83013,04.R.06,..,..,..,..,new
83014,04.R.07,..,..,..,..,new
83015,04.R.08,..,..,..,..,new
02808,04.R.09,04.R.29, , , ,
02809,04.R.10,04.R.30, , , ,
83016,04.R.11,..,..,..,..,new
83017,04.R.12,..,..,..,..,new
02812,04.R.13,04.R.33, , , ,
02813,04.R.14,04.R.34, , , ,
00994,04.R.15,02.R.45, , , ,
02820,04.R.16,..,04.R.16, , ,
02821,04.R.17,..,04.R.17, , ,
02822,04.R.18a,..,04.R.18a, , ,
02823,04.R.18b,..,04.R.18b, , ,
00995,04.R.18c,02.R.44a, , , ,
00996,04.R.18d,02.R.44b, , , ,
02824,04.R.19,..,04.R.19, , ,
02825,04.R.20,..,04.R.20, , ,
02826,04.R.21,..,04.R.21, , ,
83018,04.R.22,..,..,..,..,new
02828,04.R.23,..,04.R.23, , ,
80412,04.R.24,..,04.R.24, , ,
02830,04.R.25,..,04.R.25, , ,
80413,04.R.26,..,04.R.26, , ,
02832,04.R.27,..,04.R.27, , ,
80414,04.R.28,..,04.R.28, , ,
83019,04.R.29,..,..,..,..,new
02835,04.R.30,..,04.R.30, , ,
02836,04.R.31,..,04.R.31, , ,
02837,04.R.32,04.R.12a, , , ,
83020,04.R.33,..,..,..,..,new
80417,04.R.34,..,04.R.34, , ,
02844,04.R.35,04.R.15, , , ,
80418,04.R.36,04.R.16, , , ,
02846,04.R.37,04.R.17, , , ,
80419,04.R.38,04.R.18, , , ,
02848,04.R.39,04.R.19, , , ,
02849,04.R.40a,04.R.20a, , , ,
05189,04.R.40b,04.R.20b, , , ,
05190,04.R.40c,04.R.20c, , , ,
05191,04.R.40d,04.R.20d, , , ,
05192,04.R.40e,04.R.20e, , , ,
80420,04.R.41,04.R.21, , , ,
80421,04.R.42,04.R.22, , , ,
02852,04.R.43,04.R.23, , , ,
02853,04.R.44,04.R.24, , , ,
80422,04.R.45,..,04.R.45, , ,
02855,04.R.46,..,04.R.46, , ,
02856,04.R.47,..,04.R.47, , ,
83021,04.R.48,..,..,..,..,new
02858,04.R.49a,04.R.26a, , , ,
05193,04.R.49b,04.R.26b, , , ,
02859,04.R.50,04.R.39, , , ,
02860,04.R.51,..,04.R.51, , ,
02861,04.R.52,04.R.40, , , ,
02862,04.R.53,04.R.41, , , ,
02863,04.R.54,04.R.42, , , ,
02864,04.R.55,..,04.R.55, , ,
02865,04.R.56,..,04.R.56, , ,
02866,04.R.57,04.R.45, , , ,
02867,04.R.58,04.R.46, , , ,
02868,04.R.59,04.R.47, , , ,
02869,04.R.60a,04.R.48a, , , ,
05194,04.R.60b,04.R.48b, , , ,
05195,04.R.60c,04.R.48c, , , ,
02870,04.R.61,..,04.R.61, , ,
02871,04.R.62,04.R.50, , , ,
02872,04.R.63,04.R.49, , , ,
02873,04.R.64,..,04.R.64, , ,
80423,04.R.65,..,04.R.65, , ,
80424,04.R.66,..,04.R.66, , ,
80425,04.R.67,..,04.R.67, , ,
80426,04.R.68,..,04.R.68, , ,
02878,04.R.69,04.R.53, , , ,
02879,04.R.70,04.R.54, , , ,
02880,04.R.71,04.R.55, , , ,
02881,04.R.72,04.R.56, , , ,
80427,04.R.73,04.R.57, , , ,
80428,04.R.74,04.R.58, , , ,
02882,04.R.75a,04.R.59a, , , ,
05196,04.R.75b,04.R.59b, , , ,
05197,04.R.75c,04.R.59c, , , ,
02884,04.R.76,04.R.62, , , ,
02885,04.R.77,04.R.61, , , ,
02886,04.R.78,..,04.R.78, , ,
02887,04.R.79a,04.R.63a, , , ,
05198,04.R.79b,04.R.63b, , , ,
05199,04.R.79c,04.R.63c, , , ,
02888,04.R.80a,04.R.64a, , , ,
05200,04.R.80b,04.R.64b, , , ,
05201,04.R.80c,04.R.64c, , , ,
02891,04.R.81,..,04.R.81, , ,
02892,04.R.82,..,04.R.82, , ,
02889,04.R.83a,04.R.65a, , , ,
05202,04.R.83b,04.R.65b, , , ,
01016,04.R.84a,02.PP.12a, , , ,
04901,04.R.84b,02.PP.12b, , , ,
04902,04.R.84c,02.PP.12c, , , ,
02780,04.TF.01,04.TF.01, , , ,
02781,04.TF.02,04.TF.02, , , ,
02782,04.TF.03,04.TF.03, , , ,
02783,04.TF.04,04.TF.04, , , ,
02784,04.TF.05,04.TF.05, , , ,
02785,04.TF.06,04.TF.06, , , ,
02786,04.TF.07,04.TF.07, , , ,
02787,04.TF.08,04.TF.08, , , ,
02788,04.TF.09,04.TF.09, , , ,
02789,04.TF.10,04.TF.10, , , ,
02790,04.TF.11,04.TF.11, , , ,
02791,04.TF.12,04.TF.12, , , ,
02792,04.TF.13,04.TF.13, , , ,
02793,04.TF.14,04.TF.14, , , ,
02794,04.TF.15,04.TF.15, , , ,
80407,04.TF.16,04.TF.16, , , ,
80408,04.TF.17,04.TF.17, , , ,
02795,04.TF.18,04.TF.18, , , ,
02796,04.TF.19,04.TF.19, , , ,
02797,04.TF.20,04.TF.20, , , ,
