MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
04958,04.03.08c,04.03.06c, , , ,
04959,04.03.08d,04.03.06d, , , ,
80300,04.03.09a,04.03.07a, , , ,
81269,04.03.09b,04.03.07b, , , ,
81270,04.03.09c,04.03.07c, , , ,
80301,04.03.10a,04.03.08a, , , ,
81271,04.03.10b,04.03.08b, , , ,
81272,04.03.10c,04.03.08c, , , ,
01142,04.03.11a,04.03.09a, , , ,
40377,04.03.11b,04.03.09b, , , ,
40378,04.03.11c,04.03.09c, , , ,
82852,04.03.12a,..,..,..,..,new
82853,04.03.12b,..,..,..,..,new
82854,04.03.12c,..,..,..,..,new
80302,04.03.13a,04.03.11a, , , ,
81273,04.03.13b,04.03.11b, , , ,
81274,04.03.13c,04.03.11c, , , ,
01146,04.03.14a,04.03.12a, , , ,
40379,04.03.14b,04.03.12b, , , ,
40380,04.03.14c,04.03.12c, , , ,
80303,04.03.15a,04.03.13a, , , ,
81275,04.03.15b,04.03.13b, , , ,
81276,04.03.15c,04.03.13c, , , ,
80304,04.03.16a,04.03.14a, , , ,
81277,04.03.16b,04.03.14b, , , ,
81278,04.03.16c,04.03.14c, , , ,
82855,04.03.17a,..,..,..,..,new
82856,04.03.17b,..,..,..,..,new
82857,04.03.17c,..,..,..,..,new
82858,04.03.18a,..,..,..,..,new
82859,04.03.18b,..,..,..,..,new
82860,04.03.18c,..,..,..,..,new
82861,04.03.19,..,..,..,..,new
82862,04.03.20,..,..,..,..,new
82863,04.03.21,..,..,..,..,new
01155,04.03.22a,04.03.20a, , , ,
04975,04.03.22b,04.03.20b, , , ,
04976,04.03.22c,04.03.20c, , , ,
01156,04.03.23a,04.03.19a, , , ,
04974,04.03.23b,04.03.19b, , , ,
82864,04.03.24,..,..,..,..,new
01158,04.03.25,02.08.21, , , ,
01159,04.03.26,02.08.22, , , ,
01160,04.03.27,02.08.23, , , ,
01161,04.03.28,02.08.24, , , ,
01064,04.03.29,02.08.17, , , ,
80306,04.03.30a,04.03.50a, , , ,
80431,04.03.30b,04.03.50b, , , ,
80432,04.03.30c,04.03.50c, , , ,
01062,04.03.31a,02.08.15a, , , ,
04808,04.03.31b,02.08.15b, , , ,
04809,04.03.31c,02.08.15c, , , ,
04810,04.03.31d,02.08.15d, , , ,
04811,04.03.31e,02.08.15e, , , ,
01063,04.03.32a,02.08.16a, , , ,
04812,04.03.32b,02.08.16b, , , ,
04813,04.03.32c,02.08.16c, , , ,
04814,04.03.32d,02.08.16d, , , ,
04815,04.03.32e,02.08.16e, , , ,
82865,04.03.33a,..,..,..,..,new
82866,04.03.33b,..,..,..,..,new
82867,04.03.33c,..,..,..,..,new
82868,04.03.33d,..,..,..,..,new
82869,04.03.34a,..,..,..,..,new
82870,04.03.34b,..,..,..,..,new
82871,04.03.34c,..,..,..,..,new
82872,04.03.34d,..,..,..,..,new
80307,04.03.35a,04.03.23a, , , ,
80617,04.03.35b,04.03.23b, , , ,
80618,04.03.35c,04.03.23c, , , ,
80619,04.03.35d,04.03.23d, , , ,
01166,04.03.36a,04.03.24a, , , ,
04980,04.03.36b,04.03.24b, , , ,
04981,04.03.36c,04.03.24c, , , ,
04982,04.03.36d,04.03.24d, , , ,
80308,04.03.37a,04.03.25a, , , ,
80620,04.03.37b,04.03.25b, , , ,
80621,04.03.37c,04.03.25c, , , ,
80622,04.03.37d,04.03.25d, , , ,
82873,04.03.38a,..,..,..,..,new
82874,04.03.38b,..,..,..,..,new
82875,04.03.38c,..,..,..,..,new
82876,04.03.38d,..,..,..,..,new
82877,04.03.39a,..,..,..,..,new
82878,04.03.39b,..,..,..,..,new
82879,04.03.39c,..,..,..,..,new
82880,04.03.39d,..,..,..,..,new
82881,04.03.40a,..,..,..,..,new
82882,04.03.40b,..,..,..,..,new
82883,04.03.40c,..,..,..,..,new
82884,04.03.40d,..,..,..,..,new
01171,04.03.41a,04.03.29a, , , ,
04995,04.03.41b,04.03.29b, , , ,
04996,04.03.41c,04.03.29c, , , ,
04997,04.03.41d,04.03.29d, , , ,
01172,04.03.42a,04.03.30a, , , ,
04998,04.03.42b,04.03.30b, , , ,
04999,04.03.42c,04.03.30c, , , ,
05000,04.03.42d,04.03.30d, , , ,
80310,04.03.43a,04.03.31a, , , ,
80626,04.03.43b,04.03.31b, , , ,
80627,04.03.43c,04.03.31c, , , ,
80628,04.03.43d,04.03.31d, , , ,
82885,04.03.44a,..,..,..,..,new
82886,04.03.44b,..,..,..,..,new
82887,04.03.44c,..,..,..,..,new
82888,04.03.44d,..,..,..,..,new
82889,04.03.45a,..,..,..,..,new
82890,04.03.45b,..,..,..,..,new
82891,04.03.45c,..,..,..,..,new
82892,04.03.45d,..,..,..,..,new
82893,04.03.45e,..,..,..,..,new
82894,04.03.46a,..,..,..,..,new
82895,04.03.46b,..,..,..,..,new
82896,04.03.46c,..,..,..,..,new
82897,04.03.46d,..,..,..,..,new
82898,04.03.46e,..,..,..,..,new
01177,04.03.47a,04.03.35a, , , ,
05015,04.03.47b,04.03.35b, , , ,
05016,04.03.47c,04.03.35c, , , ,
05017,04.03.47d,04.03.35d, , , ,
05018,04.03.47e,04.03.35e, , , ,
82899,04.03.48a,..,..,..,..,new
82900,04.03.48b,..,..,..,..,new
82901,04.03.48c,..,..,..,..,new
82902,04.03.48d,..,..,..,..,new
82903,04.03.48e,..,..,..,..,new
82904,04.03.49a,..,..,..,..,new
82905,04.03.49b,..,..,..,..,new
82906,04.03.49c,..,..,..,..,new
82907,04.03.49d,..,..,..,..,new
82908,04.03.49e,..,..,..,..,new
82909,04.03.50a,..,..,..,..,new
82910,04.03.50b,..,..,..,..,new
82911,04.03.50c,..,..,..,..,new
82912,04.03.50d,..,..,..,..,new
82913,04.03.50e,..,..,..,..,new
01179,04.03.51a,04.03.37a, , , ,
05023,04.03.51b,04.03.37b, , , ,
05024,04.03.51c,04.03.37c, , , ,
05025,04.03.51d,04.03.37d, , , ,
05026,04.03.51e,04.03.37e, , , ,
80311,04.03.52a,04.03.40a, , , ,
80629,04.03.52b,04.03.40b, , , ,
80630,04.03.52c,04.03.40c, , , ,
80631,04.03.52d,04.03.40d, , , ,
80632,04.03.52e,04.03.40e, , , ,
30189,04.03.53,04.03.41, , , ,
30190,04.03.54,04.03.42, , , ,
01183,04.03.55a,04.03.43a, , , ,
05039,04.03.55b,04.03.43b, , , ,
01184,04.03.56a,04.03.44a, , , ,
05040,04.03.56b,04.03.44b, , , ,
01186,04.03.57a,04.03.45a, , , ,
05041,04.03.57b,04.03.45b, , , ,
01187,04.03.58a,04.03.46a, , , ,
05042,04.03.58b,04.03.46b, , , ,
80312,04.03.59,04.03.47, , , ,
80313,04.03.60,04.03.48, , , ,
01057,04.03.61a,02.08.10a, , , ,
04803,04.03.61b,02.08.10b, , , ,
04804,04.03.61c,02.08.10c, , , ,
04805,04.03.61d,02.08.10d, , , ,
80314,04.03.62a,04.03.49a, , , ,
80434,04.03.62b,04.03.49b, , , ,
80435,04.03.62c,04.03.49c, , , ,
80436,04.03.62d,04.03.49d, , , ,
01060,04.03.63,02.08.13, , , ,
01061,04.03.64,02.08.14, , , ,
80315,04.03.65,04.03.57, , , ,
01191,04.03.66a,04.03.58a, , , ,
05043,04.03.66b,04.03.58b, , , ,
05044,04.03.66c,04.03.58c, , , ,
